fragment_description,3rd Ventricle,4th Ventricle,Right Accumbens Area,Left Accumbens Area,Right Amygdala,Left Amygdala,Brain Stem,Right Caudate,Left Caudate,Right Cerebellum Exterior,Left Cerebellum Exterior,Right Cerebellum White Matter,Left Cerebellum White Matter,Right Cerebral White Matter,Left Cerebral White Matter,CSF,Right Hippocampus,Left Hippocampus,Right Inf Lat Vent,Left Inf Lat Vent,Right Lateral Ventricle,Left Lateral Ventricle,Right Pallidum,Left Pallidum,Right Putamen,Left Putamen,Right Thalamus Proper,Left Thalamus Proper,Right Ventral DC,Left Ventral DC,Cerebellar Vermal Lobules I-V,Cerebellar Vermal Lobules VI-VII,Total Cerebral White Matter,Cerebellar Vermal Lobules VIII-X,Left Basal Forebrain,Right Basal Forebrain,Right ACgG anterior cingulate gyrus,Left ACgG anterior cingulate gyrus,Right AIns anterior insula,Left AIns anterior insula,Right AOrG anterior orbital gyrus,Left AOrG anterior orbital gyrus,Right AnG angular gyrus,Left AnG angular gyrus,Right Calc calcarine cortex,Left Calc calcarine cortex,Right CO central operculum,Left CO central operculum,Right Cun cuneus,Left Cun cuneus,Right Ent entorhinal area,Left Ent entorhinal area,Right FO frontal operculum,Left FO frontal operculum,Right FRP frontal pole,Left FRP frontal pole,Right FuG fusiform gyrus,Left FuG fusiform gyrus,Right GRe gyrus rectus,Left GRe gyrus rectus,Right IOG inferior occipital gyrus,Left IOG inferior occipital gyrus,Right ITG inferior temporal gyrus,Left ITG inferior temporal gyrus,Right LiG lingual gyrus,Left LiG lingual gyrus,Right LOrG lateral orbital gyrus,Left LOrG lateral orbital gyrus,Right MCgG middle cingulate gyrus,Left MCgG middle cingulate gyrus,Right MFC medial frontal cortex,Left MFC medial frontal cortex,Right MFG middle frontal gyrus,Left MFG middle frontal gyrus,Right MOG middle occipital gyrus,Left MOG middle occipital gyrus,Left MOrG medial orbital gyrus,Right MOrG medial orbital gyrus,Right MPoG postcentral gyrus medial segment,Left MPoG postcentral gyrus medial segment,Right MPrG precentral gyrus medial segment,Left MPrG precentral gyrus medial segment,Right MSFG superior frontal gyrus medial segment,Left MSFG superior frontal gyrus medial segment,Right MTG middle temporal gyrus,Left MTG middle temporal gyrus,Right OCP occipital pole,Left OCP occipital pole,Right OFuG occipital fusiform gyrus,Left OFuG occipital fusiform gyrus,Right OpIFG opercular part of the inferior frontal gyrus,Left OpIFG opercular part of the inferior frontal gyrus,Right OrIFG orbital part of the inferior frontal gyrus,Left OrIFG orbital part of the inferior frontal gyrus,Right PCgG posterior cingulate gyrus,Left PCgG posterior cingulate gyrus,Right PCu precuneus,Left PCu precuneus,Right PHG parahippocampal gyrus,Left PHG parahippocampal gyrus,Right PIns posterior insula,Left PIns posterior insula,Right PO parietal operculum,Left PO parietal operculum,Right PoG postcentral gyrus,Left PoG postcentral gyrus,Right POrG posterior orbital gyrus,Left POrG posterior orbital gyrus,Right PP planum polare,Left PP planum polare,Right PrG precentral gyrus,Left PrG precentral gyrus,Right PT planum temporale,Left PT planum temporale,Right SCA subcallosal area,Left SCA subcallosal area,Right SFG superior frontal gyrus,Left SFG superior frontal gyrus,Right SMC supplementary motor cortex,Left SMC supplementary motor cortex,Right SMG supramarginal gyrus,Left SMG supramarginal gyrus,Right SOG superior occipital gyrus,Left SOG superior occipital gyrus,Right SPL superior parietal lobule,Left SPL superior parietal lobule,Right STG superior temporal gyrus,Left STG superior temporal gyrus,Right TMP temporal pole,Left TMP temporal pole,Right TrIFG triangular part of the inferior frontal gyrus,Left TrIFG triangular part of the inferior frontal gyrus,Right TTG transverse temporal gyrus,Left TTG transverse temporal gyrus,Total Cerebral Grey Matter,Right Cerebral Grey Matter,Left Cerebral Grey Matter
F-volume-age:range:min:82,0.000650033,0.0011382173,0.0002589687,0.0002951365,0.0005454594,0.0004965227,0.0111903864,0.002058871,0.0019694711,0.0270202491,0.0278354542,0.008437856,0.0085056225,0.1428622232,0.1414425794,0.0008605869,0.0020159209,0.0017689918,0.0003703416,0.0002943136,0.0081575646,0.0081425994,0.0006637061,0.000737454,0.0028955485,0.0029511515,0.00432618,0.0043999088,0.0025665256,0.0027120053,0.002762376,0.001446714,0.2843048026,0.0016053946,0.0002354112,0.0002404736,0.0023981121,0.0026030278,0.0022475331,0.0023268488,0.0010686994,0.0009058495,0.0054159234,0.0053446076,0.0018161108,0.0017501295,0.0021710567,0.0021154093,0.0025190376,0.0027238675,0.0010890189,0.0010211959,0.0010767526,0.001087087,0.0022319207,0.0018218904,0.0041713726,0.0040160041,0.001248487,0.0012423353,0.0040168236,0.0037179,0.006678174,0.0067709079,0.0044131307,0.0041311168,0.0013833587,0.0014273198,0.0027459309,0.0028620402,0.0010301834,0.0009980708,0.010792154,0.0104113176,0.0031006306,0.0034031758,0.0024951854,0.0025260641,0.0005427969,0.0005988035,0.0014059895,0.0015649994,0.0043940646,0.0038987881,0.0082620445,0.008284905,0.0018474104,0.002108364,0.002520737,0.0024721882,0.0018032586,0.0019149747,0.0009378967,0.0009188472,0.0022827515,0.0026121445,0.0058998421,0.0057879642,0.0018143394,0.0018814953,0.0013749199,0.001238094,0.0011683808,0.0011712341,0.0057866658,0.0068038617,0.0013996664,0.0015236247,0.0012127145,0.0012071139,0.0071803039,0.0077553876,0.0009705883,0.0009584242,0.0007606714,0.0007972072,0.0082574485,0.0082016336,0.0028271968,0.0033266277,0.0042876757,0.0050949993,0.002472901,0.0021667322,0.0063987202,0.0059722115,0.0043128111,0.004248485,0.0045771514,0.0044846885,0.0021519059,0.0022438929,0.0008313043,0.0007300984,0.3361034166,0.1673892235,0.1687141931
F-volume-age:range:max:82,0.000650033,0.0011382173,0.0002589687,0.0002951365,0.0005454594,0.0004965227,0.0111903864,0.002058871,0.0019694711,0.0270202491,0.0278354542,0.008437856,0.0085056225,0.1428622232,0.1414425794,0.0008605869,0.0020159209,0.0017689918,0.0003703416,0.0002943136,0.0081575646,0.0081425994,0.0006637061,0.000737454,0.0028955485,0.0029511515,0.00432618,0.0043999088,0.0025665256,0.0027120053,0.002762376,0.001446714,0.2843048026,0.0016053946,0.0002354112,0.0002404736,0.0023981121,0.0026030278,0.0022475331,0.0023268488,0.0010686994,0.0009058495,0.0054159234,0.0053446076,0.0018161108,0.0017501295,0.0021710567,0.0021154093,0.0025190376,0.0027238675,0.0010890189,0.0010211959,0.0010767526,0.001087087,0.0022319207,0.0018218904,0.0041713726,0.0040160041,0.001248487,0.0012423353,0.0040168236,0.0037179,0.006678174,0.0067709079,0.0044131307,0.0041311168,0.0013833587,0.0014273198,0.0027459309,0.0028620402,0.0010301834,0.0009980708,0.010792154,0.0104113176,0.0031006306,0.0034031758,0.0024951854,0.0025260641,0.0005427969,0.0005988035,0.0014059895,0.0015649994,0.0043940646,0.0038987881,0.0082620445,0.008284905,0.0018474104,0.002108364,0.002520737,0.0024721882,0.0018032586,0.0019149747,0.0009378967,0.0009188472,0.0022827515,0.0026121445,0.0058998421,0.0057879642,0.0018143394,0.0018814953,0.0013749199,0.001238094,0.0011683808,0.0011712341,0.0057866658,0.0068038617,0.0013996664,0.0015236247,0.0012127145,0.0012071139,0.0071803039,0.0077553876,0.0009705883,0.0009584242,0.0007606714,0.0007972072,0.0082574485,0.0082016336,0.0028271968,0.0033266277,0.0042876757,0.0050949993,0.002472901,0.0021667322,0.0063987202,0.0059722115,0.0043128111,0.004248485,0.0045771514,0.0044846885,0.0021519059,0.0022438929,0.0008313043,0.0007300984,0.3361034166,0.1673892235,0.1687141931
F-volume-age:series:83,0.0015595796,0.0012410694,0.0002480383,0.0002682869,0.0005537947,0.0005396625,0.0111199054,0.0025339863,0.0023200575,0.0299599429,0.0304468089,0.0083324041,0.0082748436,0.1271940343,0.1286932447,0.0014402816,0.0023494432,0.0021558092,0.0006118397,0.0005393933,0.0134019461,0.0145825648,0.0006843478,0.0007082386,0.0032398933,0.0032031379,0.0048600552,0.0049858397,0.0026787229,0.0028147959,0.0030095605,0.0013920244,0.255887279,0.0017481611,0.0002595515,0.0002621109,0.0029350741,0.0031404036,0.0027587523,0.0029129376,0.0010793619,0.0008397999,0.0066319587,0.0059491372,0.0018445674,0.0017026547,0.0022332243,0.0025923847,0.003017966,0.0024436429,0.0011160959,0.0010139429,0.0012882254,0.0014420053,0.0025725451,0.0024292475,0.0050633653,0.0047825125,0.0013822523,0.0014791097,0.0045988762,0.0041050097,0.00776497,0.0072565557,0.0052761999,0.0046894295,0.0013712286,0.001412551,0.0034107495,0.0032713996,0.001188627,0.0012620119,0.0123710856,0.0120854136,0.0036343024,0.0036614398,0.0024079291,0.0023040483,0.0006504291,0.0006097466,0.0014555554,0.0015645505,0.0051075246,0.0047330371,0.0089425886,0.008641397,0.001914032,0.0021329374,0.0028602149,0.0027189527,0.0024597435,0.0024376492,0.0010006568,0.0009500398,0.0027450742,0.0031190481,0.0072838505,0.0068573789,0.0020284203,0.0020606369,0.0017274148,0.0017061991,0.0013313018,0.0015900331,0.0059307603,0.0072217382,0.0013837617,0.0014279555,0.0013288224,0.0014953209,0.0070859041,0.0069115647,0.0010343332,0.0013085129,0.0007015905,0.0007556964,0.0093767796,0.0089673602,0.0031271104,0.003293462,0.004896339,0.005837855,0.0023862647,0.0019820284,0.0060427291,0.0064812768,0.0045965148,0.0048342686,0.0049585023,0.0048569829,0.0025064601,0.0027498288,0.0008710597,0.000917007,0.3732849704,0.1869850481,0.1862999223
F-volume-age:range:min:83,0.0015595796,0.0012410694,0.0002480383,0.0002682869,0.0005537947,0.0005396625,0.0111199054,0.0025339863,0.0023200575,0.0299599429,0.0304468089,0.0083324041,0.0082748436,0.1271940343,0.1286932447,0.0014402816,0.0023494432,0.0021558092,0.0006118397,0.0005393933,0.0134019461,0.0145825648,0.0006843478,0.0007082386,0.0032398933,0.0032031379,0.0048600552,0.0049858397,0.0026787229,0.0028147959,0.0030095605,0.0013920244,0.255887279,0.0017481611,0.0002595515,0.0002621109,0.0029350741,0.0031404036,0.0027587523,0.0029129376,0.0010793619,0.0008397999,0.0066319587,0.0059491372,0.0018445674,0.0017026547,0.0022332243,0.0025923847,0.003017966,0.0024436429,0.0011160959,0.0010139429,0.0012882254,0.0014420053,0.0025725451,0.0024292475,0.0050633653,0.0047825125,0.0013822523,0.0014791097,0.0045988762,0.0041050097,0.00776497,0.0072565557,0.0052761999,0.0046894295,0.0013712286,0.001412551,0.0034107495,0.0032713996,0.001188627,0.0012620119,0.0123710856,0.0120854136,0.0036343024,0.0036614398,0.0024079291,0.0023040483,0.0006504291,0.0006097466,0.0014555554,0.0015645505,0.0051075246,0.0047330371,0.0089425886,0.008641397,0.001914032,0.0021329374,0.0028602149,0.0027189527,0.0024597435,0.0024376492,0.0010006568,0.0009500398,0.0027450742,0.0031190481,0.0072838505,0.0068573789,0.0020284203,0.0020606369,0.0017274148,0.0017061991,0.0013313018,0.0015900331,0.0059307603,0.0072217382,0.0013837617,0.0014279555,0.0013288224,0.0014953209,0.0070859041,0.0069115647,0.0010343332,0.0013085129,0.0007015905,0.0007556964,0.0093767796,0.0089673602,0.0031271104,0.003293462,0.004896339,0.005837855,0.0023862647,0.0019820284,0.0060427291,0.0064812768,0.0045965148,0.0048342686,0.0049585023,0.0048569829,0.0025064601,0.0027498288,0.0008710597,0.000917007,0.3732849704,0.1869850481,0.1862999223
F-volume-age:range:max:83,0.0015595796,0.0012410694,0.0002480383,0.0002682869,0.0005537947,0.0005396625,0.0111199054,0.0025339863,0.0023200575,0.0299599429,0.0304468089,0.0083324041,0.0082748436,0.1271940343,0.1286932447,0.0014402816,0.0023494432,0.0021558092,0.0006118397,0.0005393933,0.0134019461,0.0145825648,0.0006843478,0.0007082386,0.0032398933,0.0032031379,0.0048600552,0.0049858397,0.0026787229,0.0028147959,0.0030095605,0.0013920244,0.255887279,0.0017481611,0.0002595515,0.0002621109,0.0029350741,0.0031404036,0.0027587523,0.0029129376,0.0010793619,0.0008397999,0.0066319587,0.0059491372,0.0018445674,0.0017026547,0.0022332243,0.0025923847,0.003017966,0.0024436429,0.0011160959,0.0010139429,0.0012882254,0.0014420053,0.0025725451,0.0024292475,0.0050633653,0.0047825125,0.0013822523,0.0014791097,0.0045988762,0.0041050097,0.00776497,0.0072565557,0.0052761999,0.0046894295,0.0013712286,0.001412551,0.0034107495,0.0032713996,0.001188627,0.0012620119,0.0123710856,0.0120854136,0.0036343024,0.0036614398,0.0024079291,0.0023040483,0.0006504291,0.0006097466,0.0014555554,0.0015645505,0.0051075246,0.0047330371,0.0089425886,0.008641397,0.001914032,0.0021329374,0.0028602149,0.0027189527,0.0024597435,0.0024376492,0.0010006568,0.0009500398,0.0027450742,0.0031190481,0.0072838505,0.0068573789,0.0020284203,0.0020606369,0.0017274148,0.0017061991,0.0013313018,0.0015900331,0.0059307603,0.0072217382,0.0013837617,0.0014279555,0.0013288224,0.0014953209,0.0070859041,0.0069115647,0.0010343332,0.0013085129,0.0007015905,0.0007556964,0.0093767796,0.0089673602,0.0031271104,0.003293462,0.004896339,0.005837855,0.0023862647,0.0019820284,0.0060427291,0.0064812768,0.0045965148,0.0048342686,0.0049585023,0.0048569829,0.0025064601,0.0027498288,0.0008710597,0.000917007,0.3732849704,0.1869850481,0.1862999223
F-volume-age:series:84,0.0010508432,0.0012173448,0.00026347,0.0002952862,0.0004998236,0.0005023551,0.0104511439,0.0020926773,0.0020096821,0.0272698931,0.0270836448,0.0074280818,0.0074068193,0.1201735281,0.1173596845,0.0009835378,0.0019130427,0.0017781582,0.0004293467,0.0003931969,0.0108067405,0.0129042479,0.0005904629,0.0005807395,0.0026820587,0.0027589457,0.0042597684,0.0044218227,0.0024798667,0.0025673435,0.0028234783,0.0013352299,0.2375332126,0.0016046065,0.0002639966,0.0002620937,0.0026302695,0.0028962863,0.0024467206,0.0025930296,0.0011123165,0.000959403,0.0066041892,0.0058884688,0.0019049954,0.0018238529,0.0024214803,0.0024234066,0.0026416353,0.0025715675,0.0010149588,0.0009951124,0.0011448639,0.0010717613,0.0024072231,0.0023119094,0.0044634923,0.0040915923,0.0012955623,0.0013731609,0.0037092099,0.0037360134,0.006879087,0.0060312632,0.0046095262,0.0040957336,0.0013751395,0.0014444304,0.0028366401,0.0030317888,0.0011184517,0.0011665595,0.0114255906,0.0118787034,0.0032305071,0.0039316036,0.0025179622,0.0024095822,0.0006491837,0.000659382,0.0015629064,0.0015741696,0.0047609288,0.0043420125,0.0083308043,0.0078657116,0.0016778182,0.0020301845,0.0023557882,0.0023003668,0.0022222272,0.0019745755,0.0008756581,0.0008914817,0.0026193286,0.0028951639,0.0064199806,0.0065341303,0.0018179313,0.0018360746,0.0014114387,0.0014369376,0.0013767367,0.0014714049,0.0064298521,0.0069664933,0.0014236436,0.0014613167,0.0012203869,0.001377637,0.0077981287,0.007715674,0.0011421549,0.0012582592,0.0007612612,0.0008065508,0.0092570117,0.0092397598,0.0033128425,0.0032720777,0.0051198919,0.0056411996,0.0024067773,0.0021267322,0.0063207551,0.0065631658,0.00444021,0.0044356334,0.0047790043,0.0046326582,0.0022234181,0.002204387,0.0008508444,0.00089198,0.3527086781,0.1762935216,0.1764151564
F-volume-age:range:min:84,0.0009956531,0.0012095791,0.0002445205,0.000267857,0.0004565756,0.0004549075,0.009839136,0.0019384371,0.0017988519,0.0272390043,0.0270588211,0.0067948386,0.0066650033,0.1049157697,0.1014821423,0.0009361123,0.0017488954,0.0016429628,0.0003875838,0.0003803004,0.0089753962,0.0110851897,0.0004941051,0.000501505,0.0023818751,0.0024475144,0.0041124855,0.004192619,0.0023371116,0.0024281026,0.0026320668,0.0012872231,0.206397912,0.0016026969,0.0002573889,0.0002610669,0.0023869025,0.0027632179,0.0023883045,0.002469716,0.0010155306,0.000883275,0.0065102328,0.0058496834,0.0018767503,0.0017718614,0.0023807556,0.0023338892,0.0025760187,0.0024274098,0.0009265123,0.0009098872,0.0011177089,0.001017278,0.0023445875,0.0021955135,0.0043418817,0.0039033934,0.001273572,0.0013495155,0.0035478849,0.0033819864,0.0064605791,0.0057660317,0.0044306476,0.0040612082,0.0013565038,0.0013650476,0.0026154192,0.0029125604,0.001059783,0.0011008032,0.011079877,0.0118240492,0.0032280782,0.0037893097,0.0024925148,0.0023676606,0.0005992802,0.0006160587,0.0015026505,0.001504863,0.0045305327,0.0041333193,0.0080393137,0.007520381,0.0015686963,0.0017381991,0.0022376722,0.0022276332,0.0021983802,0.0019216679,0.000781529,0.0008646838,0.0025077044,0.0028196211,0.006053197,0.0062615191,0.0016658396,0.0016935051,0.0014042825,0.0013832419,0.0013318854,0.0014360887,0.0063486279,0.0068601906,0.0014029286,0.0014178227,0.0011577675,0.0013218806,0.0077222996,0.0076994831,0.0011403577,0.0012319627,0.0007530993,0.0007863407,0.0091556031,0.0091093634,0.0031260454,0.0030458211,0.0049149662,0.0053262316,0.0023821047,0.0020711656,0.0060792519,0.0063075524,0.004153308,0.0043902081,0.0043988155,0.0041051539,0.0021387472,0.0021522719,0.0008389521,0.0008722693,0.3420040107,0.1711794816,0.1708245291
F-volume-age:range:max:84,0.0011060333,0.0012251105,0.0002824195,0.0003227154,0.0005430715,0.0005498028,0.0110631518,0.0022469176,0.0022205122,0.027300782,0.0271084686,0.0080613251,0.0081486354,0.1354312864,0.1332372268,0.0010309633,0.0020771899,0.0019133537,0.0004711096,0.0004060933,0.0126380848,0.014723306,0.0006868208,0.000659974,0.0029822422,0.0030703771,0.0044070512,0.0046510264,0.0026226218,0.0027065845,0.0030148899,0.0013832367,0.2686685132,0.001606516,0.0002706042,0.0002631206,0.0028736365,0.0030293548,0.0025051368,0.0027163431,0.0012091024,0.0010355309,0.0066981455,0.0059272542,0.0019332405,0.0018758445,0.0024622051,0.0025129241,0.0027072519,0.0027157253,0.0011034053,0.0010803376,0.0011720189,0.0011262446,0.0024698587,0.0024283054,0.0045851029,0.0042797913,0.0013175527,0.0013968064,0.003870535,0.0040900404,0.007297595,0.0062964948,0.0047884048,0.004130259,0.0013937751,0.0015238133,0.003057861,0.0031510172,0.0011771204,0.0012323157,0.0117713041,0.0119333575,0.003232936,0.0040738976,0.0025434097,0.0024515038,0.0006990871,0.0007027053,0.0016231624,0.0016434763,0.0049913248,0.0045507057,0.0086222949,0.0082110423,0.0017869402,0.0023221699,0.0024739042,0.0023731005,0.0022460742,0.0020274832,0.0009697873,0.0009182797,0.0027309528,0.0029707067,0.0067867641,0.0068067415,0.001970023,0.0019786442,0.0014185949,0.0014906333,0.0014215881,0.0015067212,0.0065110763,0.0070727961,0.0014443587,0.0015048107,0.0012830062,0.0014333934,0.0078739577,0.0077318649,0.0011439521,0.0012845556,0.0007694232,0.0008267609,0.0093584203,0.0093701562,0.0034996395,0.0034983342,0.0053248175,0.0059561676,0.00243145,0.0021822987,0.0065622583,0.0068187793,0.004727112,0.0044810588,0.0051591931,0.0051601625,0.0023080889,0.0022565021,0.0008627367,0.0009116907,0.3634133454,0.1814075617,0.1820057837
F-volume-age:series:85,0.0014423952,0.001328913,0.0002656083,0.0003003307,0.0004848195,0.0004638596,0.0094529726,0.0025162142,0.0023149598,0.0256111643,0.0261958105,0.0065225548,0.0066813099,0.1143264104,0.1125038358,0.0015537193,0.0018386814,0.0017473806,0.0008979503,0.0010199534,0.0206715273,0.021935132,0.0005676506,0.0005538691,0.0029126839,0.0029248117,0.0040197741,0.0041138471,0.0024116417,0.0025056326,0.0027743875,0.0012970359,0.2268302461,0.0015332412,0.0002496921,0.0002564592,0.0028182496,0.003009907,0.0024789583,0.0025781205,0.0010517024,0.0009264456,0.0057186165,0.0052311181,0.0025595928,0.0021424277,0.0021270554,0.0021649853,0.0029559946,0.0028200135,0.000932973,0.0008762079,0.0010979048,0.0011035251,0.0023486023,0.0021664152,0.004247342,0.0041206115,0.0011979627,0.0012495712,0.0038124029,0.0037059675,0.0064544356,0.0062139952,0.0049218665,0.0043416028,0.0013189119,0.0013790185,0.0035663899,0.0034040004,0.0010548299,0.0010908475,0.0108655642,0.0109411183,0.0030233163,0.0037987736,0.0023738414,0.0022957209,0.0005684248,0.0006980174,0.0014436143,0.0016192483,0.0051065616,0.0044276247,0.0079339252,0.007573362,0.0018589037,0.0021870298,0.0024298688,0.0024113392,0.0019880222,0.002035431,0.0008473769,0.0008540144,0.0023394659,0.0025239699,0.0063104919,0.0060950868,0.0016749371,0.0017635583,0.0014030961,0.0014257976,0.0011454436,0.0013520349,0.005459461,0.006450143,0.0013719522,0.0014127771,0.0012125327,0.0013270018,0.0069666606,0.0071140705,0.0009972952,0.001094224,0.0007506833,0.0008053295,0.0088213766,0.0085406441,0.003351716,0.0035019156,0.004411654,0.0050600568,0.0026230971,0.0022801453,0.0065353924,0.0061326779,0.0042599113,0.0041078205,0.0044917055,0.0044067552,0.00202661,0.0023497458,0.0007951585,0.0008940861,0.342504069,0.1712404971,0.1712635719
F-volume-age:range:min:85,0.0013365362,0.0009008549,0.0002480544,0.0002873204,0.0004058401,0.0003954622,0.0085785412,0.0024240881,0.0023055573,0.0229546893,0.0237662322,0.0057247911,0.0058348475,0.1044040145,0.1041175761,0.0011077895,0.0016401641,0.0016653383,0.0004670032,0.0004782577,0.008377368,0.0098456577,0.0005408353,0.0005383043,0.0026673226,0.0026497276,0.003869405,0.0039201031,0.0022892713,0.0023613517,0.0025787427,0.0012405043,0.2085215907,0.0014413001,0.0002336871,0.0002368255,0.0027573308,0.0029499711,0.0024152533,0.0025065848,0.0009979663,0.0008506406,0.0054682352,0.0050538169,0.0020561288,0.0019265118,0.0020141813,0.0020090989,0.0027618375,0.0026479962,0.0007223979,0.0006995283,0.0010755764,0.0010674575,0.0022282419,0.0021047362,0.0040129531,0.0039024975,0.0010997042,0.0011705149,0.0037637835,0.0034112118,0.0061139707,0.005835444,0.0048069023,0.0043309076,0.0013092949,0.0012797063,0.0029344277,0.0029781663,0.0010452383,0.0010798092,0.0103175736,0.0103267516,0.002989496,0.0035809472,0.002150895,0.0021488455,0.0005488943,0.0006590912,0.0014138914,0.0016133362,0.0050431384,0.0042312268,0.0076064548,0.0068704804,0.0018549069,0.0021134075,0.0023768486,0.0023028894,0.0018899289,0.0019585361,0.0008393544,0.0008208753,0.0021987566,0.0023436656,0.006186409,0.0058441169,0.001465378,0.0015731969,0.0013074807,0.0013736147,0.001064291,0.0012074404,0.0054418515,0.0061221133,0.0012822317,0.0013011212,0.0011331868,0.0013230171,0.0068602403,0.0065441943,0.000901249,0.0009886491,0.0007475678,0.0007945641,0.0086800381,0.0084745501,0.0031873106,0.003134363,0.0043506398,0.0049444795,0.0025957238,0.0022023841,0.0062387742,0.0059124007,0.0040594306,0.0039535029,0.0040095739,0.0040009656,0.0019077808,0.0022412236,0.0007744362,0.0007395191,0.3347478302,0.1676699654,0.1670778648
F-volume-age:range:max:85,0.0015482542,0.0017569711,0.0002831623,0.000313341,0.000563799,0.000532257,0.010327404,0.0026083404,0.0023243622,0.0282676394,0.0286253887,0.0073203185,0.0075277723,0.1242488062,0.1208900954,0.001999649,0.0020371987,0.001829423,0.0013288974,0.0015616491,0.0329656866,0.0340246063,0.000594466,0.0005694339,0.0031580452,0.0031998957,0.0041701432,0.004307591,0.0025340122,0.0026499136,0.0029700324,0.0013535675,0.2451389016,0.0016251823,0.0002656971,0.0002760929,0.0028791685,0.003069843,0.0025426632,0.0026496563,0.0011054384,0.0010022506,0.0059689978,0.0054084192,0.0030630567,0.0023583436,0.0022399296,0.0023208718,0.0031501517,0.0029920308,0.0011435482,0.0010528876,0.0011202331,0.0011395928,0.0024689627,0.0022280942,0.0044817309,0.0043387255,0.0012962212,0.0013286274,0.0038610224,0.0040007231,0.0067949005,0.0065925464,0.0050368307,0.004352298,0.0013285289,0.0014783308,0.0041983521,0.0038298345,0.0010644214,0.0011018858,0.0114135548,0.011555485,0.0030571365,0.0040165999,0.0025967878,0.0024425963,0.0005879553,0.0007369436,0.0014733373,0.0016251604,0.0051699849,0.0046240227,0.0082613957,0.0082762437,0.0018629005,0.0022606521,0.0024828891,0.002519789,0.0020861154,0.0021123259,0.0008553994,0.0008871535,0.0024801752,0.0027042741,0.0064345748,0.0063460567,0.0018844962,0.0019539198,0.0014987114,0.0014779805,0.0012265962,0.0014966293,0.0054770706,0.0067781727,0.0014616726,0.0015244331,0.0012918787,0.0013309865,0.0070730808,0.0076839468,0.0010933414,0.0011997988,0.0007537989,0.000816095,0.0089627152,0.0086067381,0.0035161214,0.0038694682,0.0044726681,0.0051756341,0.0026504703,0.0023579065,0.0068320106,0.0063529551,0.004460392,0.0042621381,0.0049738371,0.0048125447,0.0021454391,0.002458268,0.0008158809,0.0010486532,0.3502603078,0.1748110288,0.175449279
F-volume-age:series:86,0.0009595874,0.0011534158,0.000260814,0.0003013022,0.000459028,0.000519171,0.009970698,0.002045341,0.0019429239,0.0272881894,0.0276324811,0.0069068364,0.0071849497,0.1182934659,0.1215624779,0.0011027577,0.0018399252,0.0018355404,0.0006658278,0.0003780683,0.0117285033,0.0117460991,0.0005492617,0.0005886606,0.0029025699,0.0030384851,0.0041754488,0.0044611812,0.0024321891,0.0025232456,0.0027279082,0.0012974854,0.2398559438,0.0016262202,0.0002681069,0.0002704908,0.002412116,0.0026184689,0.0025829084,0.0027429392,0.0011030049,0.0009988757,0.0058860249,0.0057405664,0.0023710115,0.002321617,0.0023356918,0.0025894319,0.0034551257,0.003172622,0.0009479778,0.0010241925,0.001283734,0.0012753622,0.0023976015,0.0022919707,0.00453803,0.0043103146,0.0013671956,0.0014518309,0.0041666439,0.0040726255,0.0073142051,0.0068152078,0.0051231999,0.0049131959,0.00136539,0.0014859965,0.0027874573,0.0026348139,0.0010811863,0.0010638248,0.0114716275,0.0123555643,0.0032643335,0.0044560094,0.0027359123,0.0024300827,0.0006594599,0.0005903669,0.0014908577,0.0015149809,0.0045814519,0.0042813056,0.0083356329,0.0084528243,0.0018416638,0.0023066028,0.0026184353,0.0028189051,0.0024605332,0.0023139428,0.0009513135,0.0009398916,0.0024182261,0.0027351799,0.0071857804,0.0073671167,0.0017720341,0.001922756,0.0014387209,0.0015092344,0.0014172219,0.0017571817,0.0075277726,0.007902972,0.0012981908,0.0015008721,0.0011757089,0.0013699317,0.0078812126,0.0085183412,0.0011259509,0.0015140331,0.0007561257,0.0007722974,0.0087828707,0.009071122,0.00300071,0.0030778688,0.0051225668,0.0055073195,0.0030280635,0.0025091911,0.0065293081,0.007493214,0.004049112,0.0045482332,0.0043986376,0.0049721983,0.0025099487,0.0025106543,0.0008457746,0.0010666711,0.3672180699,0.1798205179,0.187397552
