index;Label;avg_t0;avg_t1;avg_t2;avg_t3;avg_t4;avg_t5;avg_t6;avg_t7;avg_t8;avg_t9;avg_t10;max_t0;max_t1;max_t2;max_t3;max_t4;max_t5;max_t6;max_t7;max_t8;max_t9;max_t10;min_t0;min_t1;min_t2;min_t3;min_t4;min_t5;min_t6;min_t7;min_t8;min_t9;min_t10
60;Left Thalamus Proper                                     ;0;0.0002;109.4214;0.987;-1.6198;-2.791;-2.7351;-1.8269;-0.9246;-0.3793;-0.1319;0;0.0002;121.9237;1.0392;-1.8471;-2.8592;-2.9336;-2.027;-1.0764;-0.3807;-0.1354;0;0.0001;105.9954;0.888;-1.5377;-2.5563;-2.4206;-1.7941;-0.8957;-0.368;-0.1271
61;Right Ventral DC                                         ;0;-0.0021;0.2272;112.8768;-2.6526;-3.6746;-2.9813;-1.9413;-1.0794;-0.5329;-0.2398;0;-0.0024;0.2588;124.9763;-2.7048;-3.7611;-3.07;-2.027;-1.2168;-0.5715;-0.2456;0;-0.002;0.2217;101.8703;-2.4468;-3.6349;-2.6723;-1.7996;-1.0742;-0.5173;-0.2373
62;Left Ventral DC                                          ;0;4.4286;71.1026;35.7071;2.2725;-4.4908;-4.3816;-2.7134;-1.2763;-0.489;-0.1596;0;4.8826;74.1233;36.3789;2.5148;-4.4996;-4.5006;-3.1756;-1.2993;-0.5684;-0.1635;0;4.0975;68.4875;34.6439;2.215;-4.1576;-4.2151;-2.4967;-1.2276;-0.4321;-0.1117
63;Right vessel                                             ;0;19.2856;101.4995;0.3857;-4.3595;-4.8771;-4.3237;-3.2705;-2.2025;-1.3574;-0.78;0;19.4904;104.9584;0.3897;-5.0801;-5.2456;-4.5966;-3.8688;-2.2144;-1.4885;-0.8344;0;18.9331;92.1297;0.3208;-4.2063;-4.6567;-4.078;-2.9011;-2.0457;-1.2398;-0.7628
64;Left vessel                                              ;0;17.9214;43.8678;30.9141;14.4225;-1.0656;-6.2487;-0.0369;0.1646;0.048;0.013;0;18.5724;48.4054;35.1236;16.0242;-1.2226;-6.556;-0.0439;0.1697;0.0497;0.0142;0;16.6471;40.7889;28.3132;13.8525;-1.0051;-5.5631;-0.0311;0.1553;0.0432;0.0124
69;Optic Chiasm                                             ;0;9.4037;71.5065;30.4852;1.6362;-3.8777;-3.9145;-2.7132;-1.5118;-0.7159;-0.2984;0;10.3348;76.8542;30.5612;1.8513;-3.8797;-5.1368;-2.8001;-1.6593;-0.7202;-0.3027;0;7.5696;69.0723;24.1386;1.5801;-3.6676;-3.3176;-2.508;-1.3949;-0.7042;-0.2868
71;Cerebellar Vermal Lobules I-V                            ;0;19.9068;78.8473;20.1215;-4.0154;-13.0649;-1.7611;-0.0341;-0.0002;0;0;0;22.2522;84.1966;22.3145;-4.107;-14.0635;-2.0075;-0.0347;-0.0002;0;0;0;19.1551;75.8349;18.7549;-3.8329;-11.9451;-1.4989;-0.0336;-0.0002;0;0
72;Cerebellar Vermal Lobules VI-VII                         ;0;36.2663;43.1174;21.6747;6.2387;-0.453;-2.2173;-2.0298;-1.3746;-0.8002;-0.4221;0;40.9361;48.9385;23.4855;6.726;-0.4677;-2.3922;-2.0418;-1.4448;-0.8627;-0.4402;0;31.4742;38.9745;18.5132;5.9889;-0.3221;-1.941;-1.7604;-1.3381;-0.7152;-0.3637
73;Cerebellar Vermal Lobules VIII-X                         ;0;0;3.0584;102.7184;8.4485;-4.8338;-4.2818;-2.7455;-1.4172;-0.622;-0.2407;0;0;3.5247;111.9927;9.0901;-5.5385;-4.7508;-3.632;-1.4542;-0.6911;-0.2506;0;0;2.9542;100.4455;8.0301;-4.1206;-4.237;-2.5636;-1.3273;-0.6165;-0.2025
75;Left Basal Forebrain                                     ;0;2.3005;49.0671;46.4053;17.3998;0.7664;-4.5875;-4.761;-3.3305;-1.9004;-0.9414;0;2.6278;53.0635;48.8891;18.1065;0.9032;-4.9013;-4.9756;-3.8636;-1.9033;-0.9937;0;2.0237;48.9141;42.8146;15.004;0.7;-4.3921;-4.3702;-2.8114;-1.6039;-0.8856
76;Right Basal Forebrain                                    ;0;49.8745;40.6784;19.1662;6.514;-13.8543;-2.6594;0.1946;0.0636;0.0176;0.0048;0;51.6726;45.6299;20.5051;6.5927;-14.5771;-2.7143;0.207;0.0676;0.0185;0.005;0;49.4753;35.3878;18.1339;5.4126;-11.0631;-2.3799;0.1836;0.0575;0.0173;0.0044
100;Right ACgG anterior cingulate gyrus                      ;0;69.4312;38.7625;9.1923;-1.3038;-6.295;-5.8079;-2.8441;-0.8968;-0.203;-0.0354;0;69.4922;38.8281;10.5711;-1.3316;-6.831;-6.1698;-2.8982;-1.0227;-0.2197;-0.0406;0;66.6342;34.2009;8.7542;-1.1041;-6.0362;-5.7951;-2.4274;-0.8043;-0.1839;-0.0337
101;Left ACgG anterior cingulate gyrus                       ;0;6.9964;87.8713;18.3744;-2.1561;-3.4299;-2.9287;-2.117;-1.3632;-0.8042;-0.4429;0;7.4381;88.0477;20.2627;-2.3797;-3.6855;-3.7434;-2.4606;-1.5238;-0.9217;-0.492;0;6.1922;79.2917;17.474;-2.0148;-3.4169;-2.8461;-1.9226;-1.2472;-0.7982;-0.4115
102;Right AIns anterior insula                               ;0;7.7715;44.3542;37.1633;15.2114;2.2272;-2.0106;-2.236;-1.4339;-0.7281;-0.319;0;7.9129;50.49;38.7794;17.2587;2.5329;-2.1697;-2.5287;-1.4483;-0.7921;-0.3609;0;7.6048;43.5396;36.3984;13.4882;2.108;-1.7962;-2.0865;-1.2887;-0.693;-0.3089
103;Left AIns anterior insula                                ;0;1.3836;92.6916;20.8662;-3.6749;-4.9111;-3.4569;-1.7966;-0.7515;-0.2669;-0.0834;0;1.4273;97.0899;21.517;-3.8517;-5.7912;-3.5866;-2.0059;-0.7644;-0.277;-0.0845;0;1.366;75.5762;19.4468;-3.5587;-4.0968;-2.8429;-1.5299;-0.6219;-0.2484;-0.0775
104;Right AOrG anterior orbital gyrus                        ;0;1.0338;115.202;6.6827;-4.8581;-5.9772;-5.1343;-3.4857;-1.9973;-1.0068;-0.4591;0;1.1619;118.0047;7.2892;-4.8778;-6.1595;-5.6159;-3.6433;-2.1393;-1.016;-0.4772;0;0.8023;108.3739;6.3486;-4.2764;-5.3454;-4.5394;-3.3806;-1.9132;-0.8927;-0.4482
105;Left AOrG anterior orbital gyrus                         ;0;18.4968;58.4289;34.5475;5.6445;-6.2708;-6.2494;-3.1414;-1.0956;-0.2952;-0.0653;0;19.9886;65.9471;36.9014;5.7576;-6.4525;-6.458;-3.7814;-1.2236;-0.3136;-0.0709;0;17.2717;55.0251;31.8886;5.3214;-6.1561;-5.9303;-3.1153;-1.0724;-0.2839;-0.0633
106;Right AnG angular gyrus                                  ;0;26.7043;72.5733;20.1011;1.1722;-5.9417;-8.2309;-4.6642;-1.4129;-0.2666;-0.0347;0;29.2855;75.1211;21.6796;1.3387;-6.3096;-8.2834;-4.9845;-1.4312;-0.2841;-0.0353;0;24.802;70.0976;17.3536;1.0534;-5.4428;-6.8146;-4.4018;-1.2437;-0.2666;-0.0343
107;Left AnG angular gyrus                                   ;0;0.923;48.8368;48.3891;15.7163;-3.375;-6.7598;-2.9724;-0.6592;-0.0902;-0.0085;0;1.0061;53.3394;48.6805;16.077;-3.3914;-6.8142;-3.0725;-0.6949;-0.1072;-0.0091;0;0.8956;46.0397;46.1704;13.7797;-3.3737;-6.5778;-2.6712;-0.5531;-0.0895;-0.0077
108;Right Calc calcarine cortex                              ;0;17.249;55.9747;31.367;5.8139;-3.5343;-3.9298;-2.016;-0.7005;-0.1847;-0.0394;0;17.4806;65.0358;33.0644;6.2152;-4.0191;-4.5086;-2.446;-0.7395;-0.1926;-0.0432;0;15.3172;44.8503;30.8264;5.4024;-3.5113;-3.5677;-1.9488;-0.6182;-0.1583;-0.0369
109;Left Calc calcarine cortex                               ;0;46.8244;37.5134;20.9357;10.0771;-10.9279;-5.6992;0.7527;0.325;0.1289;0.0504;0;47.7462;39.0374;25.271;10.4827;-11.3271;-6.625;0.7574;0.3448;0.1298;0.0506;0;41.7338;35.2319;19.8983;8.5938;-10.8172;-5.2005;0.6594;0.3007;0.1139;0.0453
112;Right CO central operculum                               ;0;3.655;46.4224;38.1201;16.3159;3.2832;-1.7039;-2.5362;-1.9036;-1.1052;-0.5477;0;4.0147;47.2208;40.3677;17.7936;3.5471;-2.0532;-2.7116;-1.9469;-1.239;-0.598;0;3.511;46.3476;32.4636;15.5775;2.9699;-1.5406;-2.3672;-1.897;-1.089;-0.5097
113;Left CO central operculum                                ;0;28.9326;70.4305;17.3523;-2.1318;-5.4145;-4.5516;-2.6997;-1.2608;-0.4912;-0.1659;0;33.4286;87.4631;18.5117;-2.2136;-5.5625;-4.5713;-2.9531;-1.2617;-0.5582;-0.1675;0;25.0683;66.9147;16.2302;-1.7175;-5.347;-4.2714;-2.3791;-1.1955;-0.4518;-0.1597
114;Right Cun cuneus                                         ;0;29.7758;60.41;25.0741;3.248;-5.0831;-6.4193;-4.2464;-1.921;-0.6572;-0.1809;0;32.9226;61.7666;26.3144;3.6649;-5.2559;-6.9001;-4.3755;-2.1432;-0.6917;-0.2;0;28.9033;59.4276;24.5729;3.1746;-5.023;-5.941;-3.9887;-1.6823;-0.6394;-0.1682
115;Left Cun cuneus                                          ;0;26.8419;43.4833;26.6678;10.467;1.3712;-2.114;-2.6254;-2.0429;-1.3066;-0.7421;0;28.4667;46.195;33.0309;12.2609;1.3794;-2.2707;-2.7404;-2.2302;-1.3133;-0.7765;0;26.5525;43.282;23.0813;10.3411;1.1729;-1.9931;-2.1281;-1.9291;-1.1591;-0.6193
116;Right Ent entorhinal area                                ;0;0.0002;8.9459;65.7222;36.623;0.9171;-5.6818;-3.9655;-1.7827;-0.6094;-0.1691;0;0.0002;9.9404;69.1607;40.7694;1.0044;-5.724;-4.3929;-1.86;-0.6441;-0.1805;0;0.0002;8.2856;57.85;33.845;0.7089;-5.5997;-3.4348;-1.5162;-0.5642;-0.1604
117;Left Ent entorhinal area                                 ;0;0;55.5269;71.6618;-1.7065;-11.3918;-10.7352;-2.9822;-0.3504;-0.0217;-0.0008;0;0;62.0528;79.2387;-1.9685;-11.5141;-13.0667;-3.6571;-0.3878;-0.0219;-0.0009;0;0;48.9191;70.7224;-1.6847;-10.943;-9.2628;-2.6616;-0.342;-0.018;-0.0007
118;Right FO frontal operculum                               ;0;33.2428;59.0156;20.9376;2.5773;-5.361;-6.4995;-3.0361;-0.7493;-0.1144;-0.012;0;34.3993;60.7529;22.0619;2.8324;-6.8229;-7.3944;-3.4084;-0.8036;-0.1214;-0.0122;0;29.5629;56.9698;20.4784;2.3103;-4.5915;-5.9222;-2.8391;-0.7066;-0.1085;-0.0112
119;Left FO frontal operculum                                ;0;13.7873;114.188;0.7933;-4.9768;-13.5608;-8.2376;-1.796;-0.186;-0.0109;-0.0004;0;14.4162;122.7894;0.8886;-5.5593;-14.2284;-8.8588;-1.8301;-0.2106;-0.0128;-0.0005;0;12.376;93.4495;0.7706;-4.8272;-13.2557;-6.0579;-1.4936;-0.1842;-0.0102;-0.0004
120;Right FRP frontal pole                                   ;0;13.1484;59.26;32.3476;7.493;-1.929;-3.7345;-3.0419;-1.9354;-1.0709;-0.5373;0;14.379;61.4422;36.3723;7.6342;-2.1446;-4.2736;-3.1067;-2.1058;-1.1168;-0.5795;0;13.0496;57.6941;29.7255;7.4011;-1.6273;-3.5894;-2.6242;-1.6769;-0.9409;-0.4852
121;Left FRP frontal pole                                    ;0;0.1303;35.5691;55.5675;17.9944;-1.0201;-3.8551;-2.562;-1.2063;-0.464;-0.1538;0;0.1339;40.6959;60.4129;18.5534;-1.1272;-4.153;-3.0198;-1.2468;-0.4801;-0.1695;0;0.115;32.2338;51.0291;15.301;-0.847;-3.623;-2.4812;-0.9999;-0.411;-0.1377
122;Right FuG fusiform gyrus                                 ;0;36.0366;40.1293;23.8022;11.1922;3.3851;-15.1192;0.234;0.2328;0.08;0.0269;0;41.0603;44.3549;25.3221;11.9326;4.0569;-16.0326;0.2381;0.2336;0.0879;0.0331;0;35.0852;38.4902;22.4967;10.8476;3.3475;-14.045;0.2307;0.2084;0.0725;0.0245
123;Left FuG fusiform gyrus                                  ;0;60.0546;40.1787;14.2257;-1.41;-6.9764;-4.3627;-1.3878;-0.2787;-0.0391;-0.004;0;68.3532;45.6655;15.8676;-1.4566;-7.4939;-4.5166;-1.4579;-0.2845;-0.0431;-0.004;0;51.8633;36.8149;14.1279;-1.2857;-6.4368;-4.1852;-1.2653;-0.2725;-0.0359;-0.0039
