index;Label;t0;t1;t2;t3;t4;t5;t6;t7;t8;t9;t10
138;Right MCgG middle cingulate gyrus                        ;0;11.6022;76.6001;26.3556;-1.1979;-5.2032;-4.1363;-2.3612;-1.087;-0.4256;-0.1467
139;Left MCgG middle cingulate gyrus                         ;0;11.9888;96.4621;6.7922;-3.9075;-3.8767;-3.0145;-2.0517;-1.2683;-0.7288;-0.3955
140;Right MFC medial frontal cortex                          ;0;30.2735;52.356;24.4674;4.3105;-2.5435;-3.4337;-2.5841;-1.5779;-0.85;-0.4182
141;Left MFC medial frontal cortex                           ;0;64.6437;33.3254;12.8728;1.2716;-5.4009;-4.5972;-1.7061;-0.3618;-0.0459;-0.0017
142;Right MFG middle frontal gyrus                           ;0;14.9427;41.4222;34.9059;19.0154;5.6669;-16.9358;0.504;0.3382;0.1024;0.0298
143;Left MFG middle frontal gyrus                            ;0;8.3552;67.5159;34.5991;4.9339;-3.2038;-4.4073;-3.5887;-2.3175;-1.2716;-0.6152
144;Right MOG middle occipital gyrus                         ;0;34.3212;51.0723;21.488;1.8748;-3.7079;-3.0037;-1.3975;-0.4812;-0.1342;-0.0319
145;Left MOG middle occipital gyrus                          ;0;0.0451;65.5104;51.8322;0.6608;-4.0807;-4.625;-3.9541;-2.7826;-1.6906;-0.9156
146;Right MOrG medial orbital gyrus                          ;0;36.6975;45.9664;25.5661;6.087;-4.778;-5.6354;-2.797;-0.8768;-0.1965;-0.0332
147;Left MOrG medial orbital gyrus                           ;0;10.7238;65.9914;34.1632;2.4894;-5.0523;-4.3059;-2.3914;-1.0687;-0.4099;-0.1397
148;Right MPoG postcentral gyrus medial segment              ;0;40.3182;40.8152;20.4762;5.9339;-0.6169;-2.3497;-2.0859;-1.3608;-0.7547;-0.3755
149;Left MPoG postcentral gyrus medial segment               ;0;25.8693;47.0724;29.8332;11.8993;0.4754;-4.6488;-4.9653;-3.2621;-1.618;-0.6554
150;Right MPrG precentral gyrus medial segment               ;0;92.1227;24.3424;5.9084;-1.5628;-6.2351;-6.8172;-4.5363;-2.1649;-0.808;-0.2492
151;Left MPrG precentral gyrus medial segment                ;0;36.0203;57.069;19.4262;3.1246;-5.087;-7.5222;-2.6572;-0.3509;-0.022;-0.0008
152;Right MSFG superior frontal gyrus medial segment         ;0;11.1101;95.832;7.7376;-3.6458;-4.4855;-3.3902;-1.8897;-0.8442;-0.3187;-0.1054
153;Left MSFG superior frontal gyrus medial segment          ;0;25.1883;40.4696;26.7253;10.2145;0.6323;-1.7028;-1.0705;-0.3634;-0.0818;-0.0116
154;Right MTG middle temporal gyrus                          ;0;3.918;81.6623;28.9001;-1.6527;-5.0963;-3.9884;-2.2394;-1.0018;-0.3775;-0.1243
155;Left MTG middle temporal gyrus                           ;0;-0.0457;103.0974;-0.523;-0.6201;-0.583;-0.4751;-0.3512;-0.242;-0.1581;-0.0991
156;Right OCP occipital pole                                 ;0;20.9919;46.1679;32.4705;12.1297;-0.1807;-4.1062;-3.6681;-2.1842;-1.041;-0.4252
157;Left OCP occipital pole                                  ;0;34.1811;41.1699;19.4146;6.4036;1.3033;-2.5917;0.0945;0.0199;0.004;0.0008
160;Right OFuG occipital fusiform gyrus                      ;0;3.5123;83.0065;33.1236;-0.6819;-11.8611;-6.1752;-0.8746;-0.0484;-0.0013;0
161;Left OFuG occipital fusiform gyrus                       ;0;42.0474;46.996;17.6113;2.6921;-2.0601;-2.7399;-2.1238;-1.3307;-0.7296;-0.3626
162;Right OpIFG opercular part of the inferior frontal gyrus ;0;1.4873;34.6389;35.1256;20.4634;8.4121;2.0843;-0.3054;-0.8127;-0.6717;-0.4217
163;Left OpIFG opercular part of the inferior frontal gyrus  ;0;2.5739;87.7612;23.5456;-2.5812;-3.9657;-3.067;-2.0059;-1.1707;-0.627;-0.3141
164;Right OrIFG orbital part of the inferior frontal gyrus   ;0;5.4361;107.4898;9.4766;-4.936;-8.4662;-5.9694;-2.3233;-0.5863;-0.1064;-0.0149
165;Left OrIFG orbital part of the inferior frontal gyrus    ;0;32.8789;75.9534;12.6303;-5.4246;-7.6839;-5.1044;-2.2598;-0.7476;-0.1982;-0.0442
166;Right PCgG posterior cingulate gyrus                     ;0;50.4968;33.6258;16.6484;5.4483;-0.2015;-1.9757;-1.857;-1.2164;-0.6573;-0.3113
167;Left PCgG posterior cingulate gyrus                      ;0;2.7405;80.0903;34.1381;-1.8577;-5.9239;-4.6321;-2.6585;-1.2358;-0.4897;-0.1711
168;Right PCu precuneus                                      ;0;55.3931;43.312;10.8804;-0.6478;-2.783;-2.4427;-1.6964;-1.0586;-0.6164;-0.3408
169;Left PCu precuneus                                       ;0;0.0086;96.7068;24.7135;-1.0357;-4.485;-6.7229;-5.3286;-2.6643;-0.94;-0.2524
170;Right PHG parahippocampal gyrus                          ;0;0;0.0143;1.344;10.4972;24.5438;28.079;20.008;10.1794;4.0253;1.3089
171;Left PHG parahippocampal gyrus                           ;0;8.9383;90.5092;18.6595;-4.6446;-5.7285;-3.9941;-2.1842;-1.0041;-0.4045;-0.1469
172;Right PIns posterior insula                              ;0;34.4787;37.1008;21.1531;8.6969;2.1677;-0.4289;-1.0779;-0.9752;-0.6877;-0.4276
173;Left PIns posterior insula                               ;0;0.3656;51.7315;48.7364;7.4465;-1.886;-2.2332;-1.6877;-1.1785;-0.7869;-0.5078
174;Right PO parietal operculum                              ;0;0;55.1741;61.7726;-3.3101;-5.6564;-4.1278;-2.2776;-1.0314;-0.403;-0.1404
175;Left PO parietal operculum                               ;0;0.9113;65.6555;40.8548;4.4708;-3.3865;-3.8857;-2.6068;-1.3052;-0.5276;-0.1807
176;Right PoG postcentral gyrus                              ;0;9.0418;44.6038;38.5384;17.5684;0.2708;-6.013;-3.1959;-0.7265;-0.0847;-0.003
177;Left PoG postcentral gyrus                               ;0;49.9761;37.3143;17.5462;3.5591;-3.0909;-3.235;-1.5129;-0.4528;-0.093;-0.0112
178;Right POrG posterior orbital gyrus                       ;0;69.9737;36.2945;7.9853;-3.2566;-6.1349;-3.5112;-1.0931;-0.2216;-0.0325;-0.0037
179;Left POrG posterior orbital gyrus                        ;0;13.4218;58.1652;35.3252;9.9916;-2.7064;-6.6084;-4.7712;-2.0576;-0.6189;-0.1412
180;Right PP planum polare                                   ;0;-0.0009;113.2519;-1.6117;-3.489;-3.6518;-2.4859;-1.261;-0.5165;-0.1798;-0.0551
